[2025-04-24 23:46:10] INFO | uav_logger | Lancement du script : attacks/gps_spoofing.py
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #93 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #94 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #95 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #96 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #97 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #98 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #99 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #100 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #101 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #102 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #103 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #104 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #105 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #106 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #107 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #108 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #109 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #110 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | GPS normal : 48.84989, 2.34998
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #111 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #112 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #113 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #114 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #115 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #116 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #117 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:47] INFO | uav_logger | Paquet DoS #118 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #119 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #120 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #121 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #122 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #123 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #124 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #125 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #126 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #127 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #128 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #129 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #130 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | GPS normal : 48.85001, 2.35015
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #131 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #132 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #133 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #134 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #135 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #136 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #137 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:48] INFO | uav_logger | Paquet DoS #138 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #139 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #140 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #141 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #142 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #143 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #144 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #145 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #146 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #147 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #148 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:49] INFO | uav_logger | Paquet DoS #149 envoyé à 192.168.0.100:14550
